"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
112,1.01746385335404,0.940941678549258,-0.00846400418247789,1.2548312852728,2.81879069261793,1.22565595070905,0.32126232136997,1.12310744314252,2.07350697520002,1.23332012645734,NA
113,0.959236855973142,0.911303495514796,-0.425193702102636,0.994654794676691,2.20754123946315,1.412141634714,0.352281394119605,1.12917951746499,2.39321142552858,1.92212733830156,NA
114,0.558485133924286,0.168915604446634,-0.429933024086685,1.03202985796012,1.52712579501788,1.30361482495636,-0.483455203832837,1.2980104491303,1.45091357943037,1.84705807585604,NA
115,0.378383724539802,0.233303641013745,0.156179732639021,1.15335826467626,3.58003203497368,1.97813223729717,-0.374350687307442,1.03277334612982,1.26277104027084,1.47722262367705,NA
116,1.50218694143221,1.69040969902923,-0.0510681034837784,1.33547751749694,2.15668163629949,1.93301560001421,0.0383216963731502,1.12578118946936,2.10513541714665,2.58986726880525,NA
117,1.50341752086213,2.3297505813109,0.856286264106675,0.390787990992557,2.09740489698359,1.70888240285897,0.138868474645011,1.09058516311674,2.19305785603074,2.57245775821438,NA
118,1.6250530647215,2.06224144886261,-0.820912484050817,0.530412763108764,2.35552466073846,1.64453013324671,-0.41153720020634,0.827070348379346,0.898780994118175,0.605196849818535,NA
119,0.207206199132436,0.0354379994325524,0.459911754823204,0.494106716587095,1.73078221463445,0.904215860097965,-0.204721743137535,1.03861962161202,1.31093774409056,1.17600601258213,NA
120,0.846697637414712,0.555523498933982,-0.172276229437433,0.562537393710204,2.47139664727835,1.79231269098589,-1.71959137181661,0.141654464957674,0.180953095144488,0.02580189291987,NA
121,1.16687146224911,0.423555975465464,-0.401986788253183,1.22982419497744,0.81087510431441,0.563446036544644,-0.873926285155202,0.540291922755737,0.481452557399655,0.249830923823744,NA
122,1.01891504953851,0.457817983111767,0.409347004732494,1.00848813611484,1.00480113550812,0.80723612701014,-0.254506045025802,1.39189629832845,2.1555540336988,3.00829890097741,NA
123,0.829449843100513,0.683219227115722,-0.657770796135476,0.915417371829669,1.91322715553622,2.11134322677186,0.0300663515121516,0.97143323554912,1.63712926699937,1.51853337279659,NA
124,1.55084262349615,2.11575567933083,-0.417831275226924,1.3502532073373,1.23977856133711,1.56080398228747,-1.09634705607886,0.347362166805615,0.353538165963838,0.111337220198986,NA
125,1.21545040012413,1.30881138188765,0.139560135778052,0.950748777871074,1.59568550883398,2.35235928297835,-0.747081383544189,0.577603183059633,0.563347799173598,0.347384274773155,NA
126,1.0140400778959,0.456094833632663,0.0471099173480377,1.28934343524745,2.74670119678381,2.61362064556435,0.29853251948415,0.706679508118579,1.71726299282457,1.18423697815079,NA
