"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
181,0.404220977443382,586228443.818648,270686356685.493,-0.41263827850314,-2.10722041229631,-3.84799319549548,-0.321757237689212
182,0.656469897013212,114660494831.686,642184290880.183,0.956421953276194,3.54913985248307,1.60794365191194,0.622621434799681
183,0.450595125885388,6295099530.17838,574777494681.038,0.499174213294466,0.356214586608654,3.67594164959956,1.02288540360815
184,0.466153547018048,36993769.3288664,388240988705.355,-0.0693203478053814,-0.582701977093672,-2.83500660132202,0.0359047172452654
185,0.455440176758146,3413248.16302755,179930075141.928,-0.479450160533845,-1.14386676511791,-4.50780953803898,-0.397895634359141
186,0.425277721603071,603863993.004562,853277829050.699,-0.725529969036239,-1.73869838396839,-4.40960985938863,-0.708154005678622
187,0.373513307061441,10538122.3343162,8558758008807.09,-0.846357729268577,-2.72063039773727,-5.20995770725495,-0.443623225256366
188,0.389243483371034,8990819.09399644,4018337197195.95,-0.616478326880861,-2.46063673655606,-4.54708115192101,-0.743924778734162
189,0.462499103577215,774632881.795719,143059081885765200,-0.411701884306095,-1.02706147932187,-3.77895336736625,-0.510471078489537
190,0.402007432013885,30182520.0700396,550757118741.5,-0.692957331527945,-2.12881821783634,-4.38153725912393,-0.396797100886354
191,0.367155639458825,2139045031.47741,5738910120854.38,0.90810098095356,-1.25124716443192,3.14356291587916,0.897447078818419
192,0.37248086020871,620992360.071317,126422591392.417,0.186923736949501,-1.53857673670602,2.02277055501956,0.217050016918621
193,0.388158592818964,1082569300.48897,108217496019.801,-0.264706855873121,-2.06714774601978,-3.04251674856702,-0.437016400740949
194,0.366611030887994,573045153.394708,2513075564406.71,-0.68974122315755,-2.6850308752926,-3.88968597033916,-0.503788282021104
195,0.369659207940557,9561585.79718891,5986493000204.88,-0.933326167275963,-2.8799662271364,-6.01996533099064,-0.979502105259793
196,0.369152156362964,18964245.6734691,2699458857907681,-0.769370700813378,-2.81938182251262,-5.74133418713756,-0.704781679662396
197,0.346998843916292,8090519.79268227,411459388463339,-0.739459666207847,-3.41228426454568,-5.72689028908397,-0.931683865280896
198,0.368095112722602,89046234.4894262,11117172825494.3,-1.04603827375181,-2.95872833775939,-5.38008917169661,-0.59340297808432
199,0.396740394887899,487668361.605623,308578819726.603,-0.653137366078834,-2.20813882376732,-4.55241526907068,-0.478104594791049
200,0.447374598464001,54976358.4086722,33160571200.4919,-0.889676907711609,-1.08359943717999,-3.760839585179,-0.50714932515754
201,0.386092939096359,14975402.6898286,420724760407017,-0.490900320214633,-2.15226549036776,-3.08816942225285,-0.379775729587515
202,0.363520660636496,3632145.54180039,18085530788544688,-0.57065969745976,-2.92101973214439,-4.77827995973473,-0.450971551527931
203,0.386175982931368,16250069.1248392,2640274510278.67,-0.660521974926392,-2.58492161371176,-5.11176063756902,-0.716219594189063
204,0.436312845077125,210227725.392209,663057429060.121,1.42900391065161,-0.042562756582126,3.99043551395554,0.961981493788781
